City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,Zapolyarnyy,69.4154,30.8136,22.28,87,100,4.5,RU,2023-02-14 02:41:23
313,Razdolinsk,58.4211,94.6658,5.49,91,100,2.37,RU,2023-02-14 02:41:24
314,Pitimbu,-7.4706,-34.8086,81.19,83,99,6.98,BR,2023-02-14 02:41:24
315,Taltal,-25.4,-70.4833,69.98,82,100,3.76,CL,2023-02-14 02:41:25
316,Choix,26.7092,-108.3219,55.27,55,69,3.29,MX,2023-02-14 02:41:25
317,Roald,62.5833,6.1333,43.75,81,5,3.44,NO,2023-02-14 02:41:26
318,Saint Simons,31.1352,-81.3901,55.44,52,0,4.61,US,2023-02-14 02:41:26
319,Souillac,-20.5167,57.5167,77.38,88,75,8.05,MU,2023-02-14 02:41:26
320,Faya,18.3851,42.4509,53.71,21,55,5.91,SA,2023-02-14 02:41:27
321,Mahishadal,22.1833,87.9833,69.75,26,0,5.1,IN,2023-02-14 02:41:27
322,Alofi,-19.0595,-169.9187,84.09,79,75,10.36,NU,2023-02-14 02:41:28
323,Mahebourg,-20.4081,57.7,77.29,88,75,8.05,MU,2023-02-14 02:41:28
324,Dawei,14.0833,98.2,84.0,41,4,3.74,MM,2023-02-14 02:41:29
325,Calabozo,8.9242,-67.4293,84.49,50,77,7.7,VE,2023-02-14 02:42:29
326,Madang,-5.2246,145.7966,83.03,84,97,5.44,PG,2023-02-14 02:42:30
327,Tiarei,-17.5333,-149.3333,86.02,75,19,11.79,PF,2023-02-14 02:42:30
328,Ilheus,-14.7889,-39.0494,73.8,88,21,1.12,BR,2023-02-14 02:42:31
329,Cajati,-24.7361,-48.1228,73.24,99,82,1.88,BR,2023-02-14 02:40:22
330,Lewistown,40.5992,-77.5714,47.16,62,3,13.76,US,2023-02-14 02:42:32
331,Oksfjord,70.2396,22.3479,35.78,94,100,9.98,NO,2023-02-14 02:42:33
332,Shahreza,32.0339,51.8794,40.01,82,100,3.09,IR,2023-02-14 02:42:33
333,Nagato,34.3833,131.2,45.27,58,98,11.63,JP,2023-02-14 02:42:33
334,Tharad,24.3961,71.6267,66.24,16,0,5.01,IN,2023-02-14 02:42:34
335,Billings,45.7833,-108.5007,49.77,36,100,13.8,US,2023-02-14 02:40:01
336,Fountain Hills,33.6117,-111.7174,51.57,79,40,5.75,US,2023-02-14 02:41:21
337,Beloha,-25.1667,45.05,71.85,88,0,5.93,MG,2023-02-14 02:42:34
338,Arlit,18.7369,7.3853,64.67,24,6,9.22,NE,2023-02-14 02:42:35
339,Corralillo,22.9819,-80.5856,66.56,72,0,7.16,CU,2023-02-14 02:42:35
340,San Luis,-33.295,-66.3356,73.83,42,0,7.56,AR,2023-02-14 02:40:20
341,Lithgow,-33.4833,150.15,58.14,85,100,6.91,AU,2023-02-14 02:42:36
342,Maragogi,-9.0122,-35.2225,78.1,80,55,6.2,BR,2023-02-14 02:42:36
343,Matara,5.9485,80.5353,79.03,65,0,6.71,LK,2023-02-14 02:42:36
344,Nanortalik,60.1432,-45.2371,12.88,72,16,30.96,GL,2023-02-14 02:41:49
345,Mandalgovi,45.7625,106.2708,18.03,35,100,9.69,MN,2023-02-14 02:42:37
346,Gondanglegi,-7.7479,112.0132,83.3,74,84,0.92,ID,2023-02-14 02:42:37
347,Fershampenuaz,53.5202,59.8117,9.05,92,100,6.31,RU,2023-02-14 02:42:38
348,Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.21,81,59,6.33,BR,2023-02-14 02:41:49
349,Puerto Princesa,9.7392,118.7353,82.38,74,75,9.22,PH,2023-02-14 02:42:39
350,Dzaoudzi,-12.7887,45.2699,80.49,83,0,12.66,YT,2023-02-14 02:42:39
351,Bontang,0.1333,117.5,81.23,68,100,1.83,ID,2023-02-14 02:42:39
352,Nara,34.6851,135.8049,45.5,37,100,15.46,JP,2023-02-14 02:42:40
353,Yarada,17.65,83.2667,68.32,94,2,2.3,IN,2023-02-14 02:42:40
354,Ribeira Grande,38.5167,-28.7,52.77,80,100,5.99,PT,2023-02-14 02:42:35
355,Arauca,7.0847,-70.7591,76.96,83,0,0.0,CO,2023-02-14 02:42:41
356,Port Keats,-14.25,129.55,89.6,54,89,2.37,AU,2023-02-14 02:42:41
357,Poole,50.7167,-2.0,47.71,95,87,6.78,GB,2023-02-14 02:42:42
358,Torbay,47.6666,-52.7314,26.58,87,75,18.41,CA,2023-02-14 02:42:41
359,Hithadhoo,-0.6,73.0833,80.08,70,38,6.08,MV,2023-02-14 02:41:16
360,Mehran,33.1222,46.1646,46.13,41,100,7.27,IR,2023-02-14 02:42:42
361,Tahe,52.3333,124.7333,3.69,56,0,4.9,CN,2023-02-14 02:42:43
362,Calca,-13.3333,-71.95,54.75,92,100,4.12,PE,2023-02-14 02:42:43
363,Rorvik,64.8621,11.2373,42.91,87,40,10.36,NO,2023-02-14 02:42:43
364,Knysna,-34.0363,23.0471,69.82,93,83,1.86,ZA,2023-02-14 02:42:44
365,Srednekolymsk,67.45,153.6833,-35.28,95,79,3.33,RU,2023-02-14 02:42:44
366,Kalianget,-7.05,113.9333,82.51,74,96,11.03,ID,2023-02-14 02:42:45
367,Sawakin,19.1059,37.3321,71.78,76,100,14.25,SD,2023-02-14 02:40:41
368,High Level,58.5169,-117.136,3.31,85,40,16.11,CA,2023-02-14 02:39:43
369,Saint-Francois,46.4154,3.9054,26.04,86,0,0.0,FR,2023-02-14 02:42:45
370,Kibre Mengist,5.8833,38.9833,48.52,44,7,3.31,ET,2023-02-14 02:42:46
371,Zyryanka,65.75,150.85,-31.47,90,62,1.63,RU,2023-02-14 02:42:54
372,Santa Fe,-31.6333,-60.7,82.0,72,0,4.0,AR,2023-02-14 02:39:08
373,Uthal,25.8072,66.6219,68.76,35,8,4.85,PK,2023-02-14 02:43:47
374,Kaitangata,-46.2817,169.8464,68.49,62,0,18.25,NZ,2023-02-14 02:39:58
375,Yamada,39.4667,141.95,34.52,56,79,7.76,JP,2023-02-14 02:43:47
376,Plouzane,48.3833,-4.6167,44.92,90,0,9.22,FR,2023-02-14 02:43:48
377,Dingwall,57.5953,-4.4272,40.87,86,70,5.19,GB,2023-02-14 02:43:48
378,Kiunga,-6.1219,141.2906,95.58,45,65,2.04,PG,2023-02-14 02:43:49
379,Geraldton,-28.7667,114.6,79.21,61,40,13.8,AU,2023-02-14 02:41:55
380,Tuscaloosa,33.2098,-87.5692,49.08,78,0,0.0,US,2023-02-14 02:43:49
381,Erdenet,49.0333,104.0833,8.1,78,59,3.38,MN,2023-02-14 02:40:41
382,Tucumcari,35.1717,-103.725,53.94,35,100,14.97,US,2023-02-14 02:43:49
383,Bousso,10.4795,16.7117,73.06,17,85,11.16,TD,2023-02-14 02:43:50
384,Golyshmanovo,56.3979,68.3728,-2.07,97,79,7.45,RU,2023-02-14 02:43:50
385,Santa Cruz,-17.8,-63.1667,78.26,89,40,9.22,BO,2023-02-14 02:38:57
386,Bonavista,48.6499,-53.1147,22.55,70,100,15.86,CA,2023-02-14 02:43:51
387,Tabou,4.423,-7.3528,79.39,88,86,5.48,CI,2023-02-14 02:43:51
388,Porto Walter,-8.2686,-72.7439,72.57,94,98,2.21,BR,2023-02-14 02:43:52
389,The Valley,18.217,-63.0578,76.86,78,5,16.6,AI,2023-02-14 02:42:19
390,Kungurtug,50.5994,97.5228,1.99,92,23,1.07,RU,2023-02-14 02:43:52
391,Agadir,30.4202,-9.5982,57.65,75,100,18.72,MA,2023-02-14 02:43:53
392,Rexburg,43.826,-111.7897,22.98,62,100,0.0,US,2023-02-14 02:39:35
393,Bonnyville,54.2668,-110.735,20.52,83,99,15.57,CA,2023-02-14 02:43:53
394,Hamilton,39.1834,-84.5333,47.25,54,0,5.75,US,2023-02-14 02:42:31
395,Zemio,5.0314,25.1361,69.91,27,15,2.95,CF,2023-02-14 02:43:53
396,Peace River,56.2501,-117.286,17.91,73,75,8.05,CA,2023-02-14 02:43:54
397,Mangaratiba,-22.9597,-44.0406,74.26,89,94,2.26,BR,2023-02-14 02:43:54
398,Scarborough,54.2797,-0.4044,39.65,92,0,1.99,GB,2023-02-14 02:43:06
399,Pyinmana,19.7333,96.2167,79.09,32,0,3.83,MM,2023-02-14 02:43:55
400,Mount Gambier,-37.8333,140.7667,73.38,39,0,7.11,AU,2023-02-14 02:43:55
401,Ludlow,42.1601,-72.4759,42.62,69,100,4.0,US,2023-02-14 02:43:55
402,Antofagasta,-23.65,-70.4,70.88,82,49,2.84,CL,2023-02-14 02:43:56
403,Naze,28.3667,129.4833,58.12,70,100,16.89,JP,2023-02-14 02:43:56
404,Smirnykh,49.75,142.8333,3.34,68,97,12.33,RU,2023-02-14 02:43:57
405,Tefe,-3.3542,-64.7114,74.86,97,100,2.28,BR,2023-02-14 02:43:57
406,Sukhobezvodnoye,57.0491,44.8891,16.7,96,100,6.02,RU,2023-02-14 02:43:58
407,Shizunai,42.3339,142.3669,28.54,63,100,5.12,JP,2023-02-14 02:43:58
408,Guanica,17.9716,-66.908,76.05,72,1,4.83,PR,2023-02-14 02:43:59
409,Kununurra,-15.7667,128.7333,94.98,46,59,4.61,AU,2023-02-14 02:43:59
410,Puttur,12.7667,75.2167,75.31,42,14,2.37,IN,2023-02-14 02:44:00
411,Asosa,10.0667,34.5333,65.84,44,5,5.01,ET,2023-02-14 02:44:00
412,Kosa,59.9445,54.9977,14.5,93,100,8.57,RU,2023-02-14 02:44:01
413,Belmonte,-15.8631,-38.8828,75.79,83,2,4.97,BR,2023-02-14 02:45:01
414,Ingham,42.6,-84.3833,35.22,85,0,0.0,US,2023-02-14 02:45:02
415,New Sibonga,7.5609,125.9298,80.78,83,100,4.27,PH,2023-02-14 02:45:02
416,Canton,23.1167,113.25,60.75,56,61,15.5,CN,2023-02-14 02:45:00
417,Sao Filipe,14.8961,-24.4956,70.65,78,20,8.14,CV,2023-02-14 02:43:58
418,Kalabo,-14.97,22.6814,64.8,95,67,1.7,ZM,2023-02-14 02:45:03
419,Hasaki,35.7333,140.8333,45.28,44,100,12.24,JP,2023-02-14 02:45:04
420,Khani,41.9563,42.9566,20.77,93,100,4.56,GE,2023-02-14 02:45:05
421,Rawson,-43.3002,-65.1023,59.83,32,30,31.18,AR,2023-02-14 02:43:18
422,Amnat Charoen,15.9167,104.75,88.88,44,100,6.2,TH,2023-02-14 02:45:05
423,Columbia,34.0007,-81.0348,51.8,64,0,0.0,US,2023-02-14 02:44:21
424,Hervey Bay,-25.2986,152.8535,84.02,75,63,10.0,AU,2023-02-14 02:45:06
425,Pedernales,18.0384,-71.744,74.86,72,0,3.2,DO,2023-02-14 02:45:07
426,San Patricio,28.017,-97.5169,69.89,77,100,18.07,US,2023-02-14 02:45:07
